source_code,distance_to_target,description,initial_distance_to_target,number_of_params,params,iteration,dim,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function with 2 dimensions designed to match specific ELA features.
    """"""
    if x.shape != (2,):
        raise ValueError(""Input must be a NumPy array of shape (2,)"")

    x1 = x[0]
    x2 = x[1]

    term1 = 0.1 * (x1**2) - 0.3 * x1 + 0.05
    term2 = 0.2 * (x2**3) + 0.1 * (x2**2) - 0.2 * x2
    term3 = 0.05 * (x1**4) - 0.1 * (x2**4)

    interaction_term = 0.03 * (x1**2 + x2**2 - x1 * x2 + 0.1)

    result = term1 + term2 + term3 + interaction_term

    return float(result)",2.5091077825218995,"Generates a two-dimensional asymmetric function using a combination of polynomial terms (squared, cubic, and quartic) with varying weights, scaling, and offsets applied to each dimension, and multiplied by another polynomial to introduce interaction.",,,,1,2,-0.2675729777592288,2.422397154969061,0.17081869236989972,0.8094870864015147,0.16344468426775774,0.16569330281288333,0.8991282127803951,0.9303078515743721
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function designed to exhibit specific ELA features.
    """"""
    x1 = x[0]
    x2 = x[1]

    # Quadratic term with interaction
    quad_term = 0.2 * (x1**2 + x2**2 + 0.5 * x1 * x2)

    # Skewed exponential term
    skewed_exp = 0.1 * np.exp(x1 + 0.5 * x2)

    # Periodic cosine modulation
    cosine_mod = 0.3 * np.cos(2 * x1 + x2)
    # Linear component
    linear_term = 0.1 * (x1 - 0.2 * x2)
    return quad_term + skewed_exp + cosine_mod + linear_term",1.3865842516432876,"Implements a 2D function consisting of a quadratic term with interaction, a skewed exponential, and periodic cosine modulation to approximate the target ELA features.",,,,1,2,1.3210097184420524,0.029538145718697624,0.8550917339446849,0.9299285818190146,0.23296374410085494,0.4347362567403498,0.4807498227566815,0.8969344338248054
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function designed to exhibit specific ELA characteristics.
    """"""
    if x.ndim != 1 or x.shape[0] != 2:
        raise ValueError(""Input x must be a 1D NumPy array of shape (2,)"")

    x = np.asarray(x)
    a = 0.5
    b = 0.1
    c = 0.3
    d = 0.2
    e = 0.15

    term1 = a * (x[0]**2 + x[1]**2)  # Quadratic bowl
    term2 = b * np.sin(2 * np.pi * x[0])   # Sinusoidal Modulation
    term3 = c * x[0] * x[1]  # Interaction term
    term4 = d*x[0]
    term5 = e*x[1]

    result = term1 + term2 + term3 + term4 + term5

    # Scaling and shifting to influence specific ELA features
    result = 0.1 * result + 0.5
    return float(result)",1.1849206329755888,"The function combines a skewed quadratic bowl with a sinusoidal modulation and linear term introducing non-linearity, scaled and shifted to approximate target ELA values.",,,,1,2,0.2684714079487405,0.30906108149247274,0.8790002760163036,0.8188985392163262,0.018714971420995142,0.215701553723711,0.8213846463071587,0.9998530817238234
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function designed to exhibit specific ELA features.
    """"""
    x1, x2 = x
    term1 = (x1 - 0.5)**4 + 0.1 * (x1 - 0.5)**3
    term2 = 2 * x1 * x2 + x2**2
    term3 = np.cos(x1) + np.abs(x2)
    return term1 + 0.5 * term2 + 0.2 * term3",1.2188988774979328,"The function calculates a combination of a skewed quartic polynomial, a quadratic term with interaction, and a non-linear term involving cosine and absolute values to shape a fitness landscape with the desired ELA features.",,,,1,2,0.4851830798142565,0.019316615904533634,0.8805995409490942,0.8367109692515248,0.17888933904288823,0.17956932572394899,0.9085671872533242,0.9421327947807383
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function with specific ELA properties.
    """"""
    x = np.asarray(x)
    if x.ndim != 1 or x.shape[0] != 2:
        raise ValueError(""Input x must be a 1D numpy array of shape (2,)"")

    # Shift and scale x
    x_shifted = (x + np.array([1.0, -0.5])) * np.array([0.8, 1.2])

    # Quadratic bowl
    quadratic_term = np.sum(x_shifted**2)

    # Skewed exponential term
    skewed_term = np.exp(2 * x_shifted[0])  # Skews fitness landscape

    # Interaction term
    interaction_term = x_shifted[0] * x_shifted[1]

    # Combine terms with adjusted weights
    fitness = 0.5 * quadratic_term + 0.2 * skewed_term + 0.1 * interaction_term + 0.05 * np.sum(x_shifted**3)
    return float(fitness)",1.1973992170241317,The function combines a shifted and scaled quadratic bowl with a skewed exponential term and interaction terms to shape the landscape and control ELA features.,,,,1,2,0.8535449087690735,0.0033964431701905174,0.8854121302373575,0.8924171097338358,0.3301970661814146,0.33038123096257094,0.6542786421462293,0.8632913054419233
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function designed to exhibit specific ELA features.
    """"""
    x = np.asarray(x)
    if x.ndim != 1:
        raise ValueError(""Input must be a 1D array."")

    n = len(x)
    if n != 2:
        raise ValueError(""Dimensionality must be 2."")

    # Scale and shift the inputs
    x1 = (x[0] + 1) / 2  # [0, 1]
    x2 = (x[1] - 1) / 1.5 # [-4/3, 8/3]

    term1 = (x1 - 0.5)**2 + (x2 - 0.2)**2

    term2 = 0.5 * (x1**3 + x2**2 + 0.1 * x1 * x2) * (1 + 0.3*x1)

    interaction_term = 0.2* np.sin(2*x1)*np.cos(3*x2)

    offset=1.3

    return term1 + term2 + interaction_term + offset",1.4190698216471969,"The function calculates the sum of squared differences scaled and combined with a skewed quadratic term, adjusted by non-linear and interaction terms.",,,,1,2,0.3043910145308172,0.15267868419216835,0.8983606380236868,0.8764296647161801,0.48199759179873747,0.48196585324641156,0.9590982617674172,0.9979933498356317
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function designed to approximate specific ELA features.
    """"""
    x1 = x[0]
    x2 = x[1]

    term1 = 0.5 * (x1**2 + x2**2 - 0.5 * x1 * x2)  # Quadratic term
    term2 = 0.3 * np.exp(-((x1 - 0.5)**2 + (x2 + 0.3)**2) / 2)  # Skewed Gaussian-like term (shifts distribution)
    term3 = 0.2 * (x1 + x2 + 0.3 * x1 * x2)  # Linear with interaction for non-linearity

    fitness = term1 - term2 + term3
    return fitness",1.265168819061046,"This function calculates a weighted sum of a quadratic term, a skewed Gaussian-like term, and a linear term with interaction effects to mimic targeted ELA features.",,,,1,2,0.19418089828633162,0.4274265844205423,0.8939342251392258,0.8148752174988422,0.028617600379608598,0.0975564142202142,0.918330778953894,0.999951056841729
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function designed to match target ELA features.
    """"""
    # Quadratic terms with interactions.
    term1 = 0.0
    for i in range(len(x)):
        for j in range(len(x)):
            term1 += (i + j + 1) * x[i] * x[j]

    # Biased Sine wave for non-linearity and fitness-distance correlation
    term2 = np.sin(np.sum(x) + 1.0) * 0.5

    # Skewed polynomial shape
    term3 = np.sum((x + 0.5)**3 * np.arange(1, len(x) + 1) / (len(x)+1))

    # Uneven variable distribution with a weighting
    term4 = np.sum(x**2 * np.arange(1, len(x) + 1) / (len(x)+1))

    result = term1 * 0.001 + term2 * 0.1 + term3 * 0.02 + term4 * 0.05
    return result",1.308388010854173,"This function calculates the objective value using a combination of quadratic terms with interactions, a biased sine wave, and a skewed polynomial with an uneven distribution to influence ELA features, specifically adjusted R^2 values, skewness, fitness correlation, and standard deviation ratio.",,,,1,2,0.38977427292195044,0.2860318422792121,0.32953542099744404,0.8830555362845788,0.6090119582260262,0.6115106135630003,0.8916164561316109,0.9984465448461369
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    A synthetic benchmark function for testing optimization algorithms,
    designed to exhibit specific Exploratory Landscape Analysis (ELA) features.
    """"""
    x = np.asarray(x)
    n = len(x)
    assert x.shape == (n,), ""Input x must be a 1D NumPy array.""

    # Normalize x to [-1, 1] range
    x_norm = x / 5.0

    # Skewed polynomial term
    term1 = np.sum((x_norm**3) + 0.5 * x_norm)

    # Quadratic term to correlate fitness with distance from origin (center of the space)
    term2 = 0.2 * np.sum(x_norm**2)

    # Distance-based weighting
    distance = np.linalg.norm(x_norm)
    weight = np.exp(-0.1 * distance)

    # Combine the terms
    result = term1 + weight * term2

    return float(result)",1.963916528550561,"The function combines a skewed polynomial, a quadratic term to correlate fitness with distance, and a distance-based weighting to shape the landscape while maintaining determinism.",,,,1,2,0.09998373347584805,1.042310244767299,0.7740150652291785,0.9000278282819872,0.9411171936827997,0.9411163384617655,0.9480386635563294,0.9999991149540087
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic benchmark function designed to mimic target ELA features.
    """"""
    x1, x2 = x

    # Skewed quadratic bowl
    quadratic_term = (x1 - 0.5)**2 + 2 * (x2 + 0.2)**2 + 0.5 * x1 * x2

    # Introduce local nonlinear interaction modulated by a linear term
    interaction_term = 0.5 * np.sin(5 * x1) * np.cos(3 * x2) * (0.5 * x1 + x2)

    # Linear component to influence fitness-distance correlation
    linear_term = 0.1 * (x1 - x2)

    # Combine components
    fitness = quadratic_term + interaction_term + linear_term

    return float(fitness)",1.2718332109535309,"Combines a skewed quadratic bowl with localized nonlinear interactions using a sine function, modulated by a linear term to influence fitness-distance correlation.",,,,1,2,0.19907304557642486,0.4026388437484263,0.8908882500881057,0.8136404372615302,0.044525882347855775,0.1157188420437926,0.9410188810215826,0.9980809238040593
